Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade,Critic_Score,User_Score
1,Wii Sports,Nintendo Wii,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,2000s,76.0,8
2,Super Mario Bros.,Nintendo Entertainment System,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,1980s,Unknown,Unknown
3,Mario Kart Wii,Nintendo Wii,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,2000s,82.0,8.3
4,Wii Sports Resort,Nintendo Wii,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,2000s,80.0,8
5,Pokemon Red/Pokemon Blue,Game Boy,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,1980s,Unknown,Unknown
6,Tetris,Game Boy,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,1980s,Unknown,Unknown
7,New Super Mario Bros.,Nintendo DS,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,2000s,89.0,8.5
8,Wii Play,Nintendo Wii,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,2000s,58.0,6.6
9,New Super Mario Bros. Wii,Nintendo Wii,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,2000s,87.0,8.4
10,Duck Hunt,Nintendo Entertainment System,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,1980s,Unknown,Unknown
11,Nintendogs,Nintendo DS,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,2000s,Unknown,Unknown
12,Mario Kart DS,Nintendo DS,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,2000s,91.0,8.6
13,Pokemon Gold/Pokemon Silver,Game Boy,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,1980s,Unknown,Unknown
14,Wii Fit,Nintendo Wii,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,2000s,80.0,7.7
15,Wii Fit Plus,Nintendo Wii,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,2000s,80.0,7.4
16,Kinect Adventures!,Xbox 360,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,2000s,61.0,6.3
17,Grand Theft Auto V,PlayStation 3,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,2000s,97.0,8.2
18,Grand Theft Auto: San Andreas,PlayStation 2,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,2000s,95.0,9
